,sentence,valence,arousal
232,"언니, 근데 아직 어떻게 돌 지 다 안 정했잖아.",-1.0,0.0
234,응. 이제 비행기랑 숙소부터 예약하면 될 듯 해.,0.0,-1.0
235,그러게. 가서 돈 펑펑 쓰고 오면 또 회사의 노예가 되겠지만.,-1.0,-1.0
236,맞다. 나중에 가면 비싸지니까.,0.0,-1.0
237,"그치, 비행기는 그래도 먼저 예약을 해 둬야 할 거야.",0.0,-1.0
238,아….. 나 떨어졌어. 또 떨어졌네.,1.0,1.0
239,"… 지원아, 괜찮아. 더 좋은 회사 될 거야.",1.0,1.0
241,고마워. 너는 떨어졌는데 나 혼자 축하받으려고 하니까 미안하고 민망하네.,-1.0,0.0
242,응.. 말이라도 그렇게 해주니까 고맙다.,0.0,-1.0
243,아 팔아파… 엉덩이도 아프고… 으..,-1.0,1.0
244,"와, 대단하다… 너 그럼 평영, 접영도 다 할 줄 알아?",1.0,-1.0
245,이번 달 부터 나 새벽에 수영장 다니고 있거든. 근육통이 너무 심해.,-1.0,0.0
246,너 수영 잘 해? 나는 너무 어렵던데….,-1.0,-1.0
249,"나이 들긴, 아직 팔팔한 이십 대가.",0.0,-1.0
250,"아, 안하던 운동을 갑자기 해서 그런가보네.",0.0,-1.0
251,"응, 나는 어릴 때 배웠었어.",0.0,-1.0
252,수민이 너는 수영 할 줄 알아?,0.0,-1.0
253,"수민아, 다음 주에 놀이공원 같이 갈래?",0.0,-1.0
254,좋아! 신난다. 너 무서운 놀이기구 잘 타지?,1.0,1.0
256,좋아! 근데 갑자기 놀이공원은 왜 가자고 한 거야?,0.0,-1.0
258,"응, 그 놀이공원이랑, 엄마네 회사랑 협력사라서 그렇다나봐.",0.0,-1.0
259,"나, 엄마가 회사에서 받은 할인권을 주셨거든.",0.0,-1.0
260,"잘 됐다. 토요일엔 비 올 수도 있다고 하니까, 일요일에 가자.",0.0,-1.0
262,당연하지. 나 롤러코스터 진짜 좋아해.,1.0,1.0
266,너 그거 전부 결제해서 읽는 거야?,0.0,-1.0
267,또또 작가님이 신작을 냈어? 언제?,0.0,-1.0
268,"아니, 먹기 싫으면 먹지 마. 내가 뭐 억지로 먹으라고 하냐?",-1.0,0.0
269,이따가 배고프다고 난리쳐서 두 번 고생하게 하지 말고 지금 먹어.,-1.0,0.0
271,너 꼬르륵 소리 다 들려. 오늘 반찬 맛있는 거 했는데.,-1.0,0.0
273,그럼 내 다이어트 방해하지 말고 내 방에서 사라져 줘.,-1.0,1.0
276,닭볶음탕. 너 그거 좋아하잖아.,0.0,-1.0
279,진짜? 왜? 나는 오늘 승연언니 드레스 입은 거 보니까 결혼 하고 싶던데.,0.0,-1.0
281,"야, 결혼 안한다는 애들이 꼭 제일 먼저 결혼한다더라.",-1.0,-1.0
282,"아, 난 그 말 진짜 싫어. 난 진짜 안할거거든.",-1.0,1.0
283,그냥 예전부터 하기 싫었어. 한국에서 여자는 결혼하면 무조건 손해야.,-1.0,0.0
284,"그래, 끼리끼리 만나는 거지 뭐.",0.0,-1.0
285,그런가. 아나운서들은 재벌이나 연예인이랑 결혼하고 그런 경우도 많던데. 승연언니는 참 일편단심이네.,0.0,-1.0
286,지원이 너는 결혼 안 하고 싶어?,0.0,-1.0
287,언니 정도면 연예인이지 뭐. 이제 아나운서인데.,0.0,0.0
288," 수민아, 이거. 엄마가 너한테 갖다 주라고 하시더라.",0.0,-1.0
289,그렇긴 해. 우리 엄마는 나랑 너랑 바꾸자고 하면 얼씨구나 좋다 하고 바꾸실거야.,-1.0,-1.0
291,아무튼 너무 감사드린다고 꼭 전해 줘. 내가 전화라도 한 통 드릴게.,0.0,0.0
292,"야, 그래도, 말이 그렇지 이렇게 챙겨주시는 게 쉽냐?",0.0,-1.0
294,"그러니까, 내 말이. 세상에 믿을 놈 하나 없다니까.",-1.0,-1.0
295,그래. 손절은 빠를수록 좋다더라.,0.0,-1.0
296,"그거, 홍두영이 성매매 하다가, 성폭행으로 고소 당했다는 거. 난리던데 아주.",-1.0,-1.0
297,"야, 지금은 내 흑역사야. 집에 가서 모아 놓은 앨범 다 부셔서 불태울거라고.",-1.0,-1.0
298,"아니, 걔는 그걸 자랑이라고 말하고 다녔다는거야? 어이가 없다 정말.",-1.0,-1.0
299,너 중학교 때까지 홍두영 엄청 좋아했었잖아.,0.0,-1.0
302,"수민아, 혹시 다음주 화요일쯤 시간 돼?",0.0,-1.0
304,"저번에 너네 집 갔을때 사료 주는거, 화장실 치우는거 다 봐서 알아.",0.0,-1.0
306,"사료는 찬장 열면 있고, 베란다 구석에 화장실 삽 있어.",0.0,-1.0
307,나 2박3일 출장 가거든. 고양이 때문에.,0.0,-1.0
308,"아, 고양이? 내가 데리고 있을까?",0.0,-1.0
312,그냥 집에 한번 들러서 밥이랑 화장실만 챙겨주면 돼.,0.0,-1.0
315,뭘 솔직히 말해? 난 여태 거짓말 한거 없어,-1.0,0.0
316,같은 말을 해도 어떻게 그렇게 하냐 넌..,-1.0,-1.0
317,누가 거짓말 했대? 주식이 자꾸 떨어지기만 하잖아,-1.0,0.0
318,야 투자는 본인 의지로 하는거지.. 이제와서 내탓하지마,-1.0,0.0
321,저기. 지하철 역 쪽으로 가려면 어떻게 가야 돼요?,0.0,-1.0
322,그러시구나. 늦게 나가시네요.,0.0,-1.0
324,술도 한 잔 먹고. 남이 차려주는 밥도 좀 먹게요.,0.0,-1.0
325,지하철 역이요? 마침 제가 그리로 가는 길인데 같이 가려면 가세요.,0.0,-1.0
329,오늘 이쪽에서 친구네 집에 놀러와서요. 이제 집으로 돌아가려구요.,0.0,-1.0
330,아. 잘 됐네요. 감사합니다.,0.0,0.0
331,저는 이제 친구 만나러 가는 길인데.,0.0,-1.0
332,라일락 필 무렵을 기억하는 사람이라면 지욱이도 좋아할거야,0.0,-1.0
333,야 왜 포기를 해! 일단 부딪혀봐야지!,0.0,-1.0
334,아닌데.. 분명히 라일락 필 무렵에 언니가 정훈 오빠 좋아한다고 했잖아.,-1.0,-1.0
335,아니. 나는.. 겁쟁이랍니다.,-1.0,0.0
337,나 현우랑 진지하게 만나보려고,0.0,-1.0
338,내 사랑을 이대로 포기해도 되는걸까..?,-1.0,1.0
341," 야, 선배들 앞에서 그런 소리 조심해라. 그리고 우리가 늙긴 뭐가 늙어.",0.0,-1.0
342,나 늙었나봐. 자꾸 동아리 사람들이 보고싶네.,-1.0,0.0
343,나 애들 낳고 하느라고 동아리 모임 오랫동안 못 나갔잖아.,-1.0,-1.0
344,"그래?  아, 여깄다. 신부가 낯이 익은데?",0.0,-1.0
345,같이 가자. 혼자 가기는 좀 뻘쭘해.,-1.0,-1.0
346,다음 토욜이네. 난 그날 일하는데.,-1.0,-1.0
347,단톡방에 청첩장 올라왔었잖아.,0.0,-1.0
349,"아, 그럼 작년 모임때 같이 왔던 사람이구나.",0.0,-1.0
350,너 명수 오빠 결혼식 갈거지?,0.0,-1.0
351,다 아는 사람들인데 뭐가 뻘쭘해?,0.0,-1.0
352,맛도 더럽게 없네. 커피나 마시러 가자. 이 근처에 잘하는데 있어.,-1.0,0.0
354,아 중국갔나? 하여간 김대리는 어차피 라인을 탔으니까. 그것도 팀장님 대신해서 간거잖아,-1.0,-1.0
356,팀장님 성격에 얼굴 안 비치면 난리날걸?,-1.0,-1.0
358,그러니까... 출장간 김대리가 이렇게 부러울 수가 없어,-1.0,0.0
361,어? 나는 요 옆이 우리 본가라서 넌?,0.0,-1.0
364,여기 사장님도 오늘 같은 날 카페를 왜 열었겠어,-1.0,0.0
365,오랜만에 집에 왔더니 결혼하라고 난리잖아. 시끄러워서 빠져나왔지.,-1.0,0.0
366,아… 결혼하고 첫 명절… 어땠어?,0.0,-1.0
371,여기 문 닫을 때까지 있고 싶다.,-1.0,0.0
372,다들 잘 해 주시는데… 그래도 시댁은 시댁이지 뭐. 넌?,-1.0,-1.0
375,그래. 오늘 미세먼지 위험인거 몰랐어?,-1.0,-1.0
377,이미 미세먼지 잔뜩 마신거 그냥 기분좋게 심호흡 하자,0.0,-1.0
380,그래도 과장님이 계셔서 다시 돌아올 때 마음이 한결 놓였던 거 같아요. 감사해요. 저 열심히 할게요.,1.0,1.0
381,똑같아. 그냥.. 이게 나아지면 저게 더 힘들어지고..   그냥 사는 거라니까.,-1.0,0.0
382,회사에 다시 오고 싶었는데.. 다시 올 수 있을 줄 몰랐어요.,0.0,0.0
384,고생이 고생인지도 모르겠고. 그냥 하루 하루 사람이라는 게 원래 이렇게 사는 건가 보다 하는 거지.,-1.0,0.0
385,그치.. 나도 친정 엄마 없었으면 엄두도 못 냈을 거 같아요.,0.0,0.0
387,"엊그제도 옆 동네에 도둑이 들었다던데.,, 그냥 도둑도 아니고 강도 살인이랬거든요.",-1.0,0.0
388,아니. 지금 우리 집에 들어가려고 하니까 안에서 무슨 소리가 들려서요. 우리집 남편은 모임 가서 오늘 안 들어오거든요.,-1.0,0.0
389,"뭐가 툭 툭 떨어지는 소리도 나고, 문이 열리는 거 같기도 하고... 뒤적거리는 소리였는지...",-1.0,-1.0
390,장롱 여는 소리 같치럼.. 하여튼 무서워 죽겠어요.,-1.0,1.0
394,제가 부를게요. 일단 얼른 저희 집으로 들어오세요.,0.0,-1.0
395,니가 뭘 알아! 넌 어리니까 아직 내 맘을 몰라.. 나 이제 어떡해..,-1.0,1.0
398,야! 좀 그냥 위로해주면 어디 덧나니? 너는 꼭 매사에 그렇게 똑똑한척 잘난척이라 밥맛이야 진짜.,-1.0,1.0
399,"왜 그렇게 생각해. 솔직히 그 자식 맨날 바람피고, 언니 데려다가 예비시댁이다 뭐다 일만 시키고.",-1.0,0.0
401,이 나이에 혼자사는 것도 얼마나 힘든지 알아? 개고생이야 그것도.,-1.0,0.0
402,"언니, 어떻게 보면 총알을 피해간 걸수도 있어. 그런 자식이랑 결혼해봤자 고생만 더해?",-1.0,0.0
403,실없이 살아야 살 수 있을거 같아,-1.0,-1.0
405,그래? 그럼 그냥 웃어야겠다!,0.0,0.0
406,안 질려고 하는 건 여전하구나!,0.0,-1.0
411,아니야. 내가 더 보고 싶었어!,1.0,1.0
412,아니야. 너에게라면 져줄 수 있지.,0.0,-1.0
416,헐!!! 너네 오빠랑 요새 안 좋아?,1.0,1.0
417,"대박!  야, 그게 무슨 바람이야! 난 또 뭔일 난 줄 알았잖아.",0.0,-1.0
419,헐… 너 연하 취향 아니잖아?,-1.0,-1.0
420,말을 해본 적이 없다고? 한 마디도?,-1.0,-1.0
421,저번 주에 본사에서 파견 나온 애.,0.0,-1.0
424,이번 영화를 통해 그동안과는 다른 모습을 보여주셨는데요.,0.0,-1.0
425,식단 조절에 비결이 어딨어요. 적게 먹고 운동하는거지. 지금 30명째 식단 얘기만 질문하시니까. 답답해서 그래요. 영화는 보고 오셨어요?,-1.0,1.0
426,하.. 다들 너무 똑같은 걸 물으시는거 아니에요?,-1.0,0.0
427,이번 역할을 위해 특별히 시도하신 게 있다면 어떤 것이 있을까요?,0.0,-1.0
